step,time,mass,ch_energy,kinetic_energy,total_energy,divergence_L2,c_min,c_max,u_max,cfl_number,amplitude,y_min,y_max,n_spikes,mu_min,mu_max,p_min,p_max,c_norm,mu_norm,ux_norm,uy_norm,p_norm,F_cap_max,F_mag_max,F_grav_max
0,0.000000000000e+00,-2.003999927482e-01,2.375014928846e+00,0.000000000000e+00,2.375014928846e+00,0.000000000000e+00,-1.000000000000e+00,9.999999999998e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
10,5.000000000000e-03,-2.003999927482e-01,2.367704504533e+00,4.615145627756e-03,2.372319650161e+00,6.161489470632e-02,-1.000095192725e+00,1.000097235741e+00,3.766719102376e-01,2.067158389398e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
20,1.000000000000e-02,-2.003999927482e-01,2.365306973961e+00,5.747873248533e-03,2.371054847210e+00,2.814682107800e-02,-1.000402171351e+00,1.000585809419e+00,3.766605864752e-01,4.134192490205e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
30,1.500000000000e-02,-2.003999927482e-01,2.363881183086e+00,5.198873912341e-03,2.369080056998e+00,1.616148973336e-02,-1.000504479883e+00,1.000975179318e+00,3.354429173369e-01,3.681791086039e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
40,2.000000000000e-02,-2.003999927482e-01,2.363160490789e+00,4.116090453056e-03,2.367276581242e+00,1.970928540784e-02,-1.000503266630e+00,1.001262349885e+00,2.744218844971e-01,3.012029755098e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
50,2.500000000000e-02,-2.003999927482e-01,2.362788179080e+00,3.165115185615e-03,2.365953294265e+00,1.942378959466e-02,-1.000463615541e+00,1.001479323479e+00,2.362973196778e-01,2.593577983853e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
60,3.000000000000e-02,-2.003999927482e-01,2.362562649229e+00,2.425933521121e-03,2.364988582750e+00,1.658194020848e-02,-1.000494550965e+00,1.001731998992e+00,2.015504394537e-01,2.212199372874e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
70,3.500000000000e-02,-2.003999927482e-01,2.362431027875e+00,1.777747930425e-03,2.364208775806e+00,1.439123467774e-02,-1.000559180904e+00,1.002075030232e+00,1.691996294987e-01,1.857119812203e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
80,4.000000000000e-02,-2.003999927482e-01,2.362320733948e+00,1.257555880084e-03,2.363578289829e+00,1.340671801953e-02,-1.000604210182e+00,1.002323989262e+00,1.472855921286e-01,1.616593322363e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
90,4.500000000000e-02,-2.003999927482e-01,2.362227360189e+00,8.621786213138e-04,2.363089538810e+00,1.159899343954e-02,-1.000632042322e+00,1.002489875917e+00,1.237881274707e-01,1.358687277994e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
